id,company,industry,hq,headcount,spend_complexity,cpo_hypothesis,pain_signal,linkedin_search,priority,status
1,Continental AG,Automotive components,"Hanover, Germany","~190,000","Massive indirect spend across IT, MRO, logistics, professional services, and facility management spanning 40+ countries with thousands of suppliers.",Head of Group Procurement / CPO,"Ongoing cost-reduction programs and automotive industry transformation (EV shift) demand rapid, data-driven category strategies across hundreds of spend categories in a volatile supply market.","Continental AG CPO OR ""Head of Procurement"" OR ""Head of Category Management"" OR ""VP Procurement"" site:linkedin.com",1,active
2,ZF Friedrichshafen AG,Automotive components,"Friedrichshafen, Germany","~165,000","Large-scale indirect procurement including IT infrastructure, tooling, logistics, consulting, and facility services across 30+ countries.",CPO / SVP Procurement,Massive portfolio transformation toward electrification and autonomous driving creates urgent need to rapidly reassess category strategies across new and legacy spend areas.,"""ZF Friedrichshafen"" OR ""ZF Group"" CPO OR ""Head of Procurement"" OR ""VP Procurement"" site:linkedin.com",1,active
3,Schaeffler AG,Automotive components / Industrial manufacturing,"Herzogenaurach, Germany","~84,000","Complex indirect spend portfolio covering IT, energy, logistics, tooling, professional services, and MRO across 50+ production sites globally.",CPO / SVP Group Procurement,Dual business model (automotive + industrial) with rapidly shifting supply markets demands faster category strategy cycles than traditional PowerPoint-based approaches can deliver.,"""Schaeffler"" CPO OR ""Head of Procurement"" OR ""Head of Category Management"" site:linkedin.com",1,active
4,Evonik Industries AG,Specialty chemicals,"Essen, Germany","~33,000","Significant indirect spend on energy, logistics, IT, lab equipment, packaging, and professional services across global chemical operations.",CPO / Head of Group Procurement,Volatile raw material and energy markets in chemicals require real-time market intelligence integrated into category strategies that static PowerPoint processes cannot provide.,"""Evonik"" CPO OR ""Head of Procurement"" OR ""Head of Strategic Sourcing"" site:linkedin.com",1,active
5,Lanxess AG,Specialty chemicals,"Cologne, Germany","~13,000","Indirect spend across logistics, energy, IT, maintenance, and professional services supporting specialty chemical production across multiple continents.",CPO / Head of Procurement,"Recent portfolio restructuring and margin pressure in specialty chemicals demand agile, data-driven category strategies that adapt to rapidly shifting market conditions.","""Lanxess"" CPO OR ""Head of Procurement"" OR ""Head of Category Management"" site:linkedin.com",1,active
6,Fresenius SE & Co. KGaA,Healthcare / Life sciences,"Bad Homburg, Germany","~190,000","Enormous indirect spend across hospital services, IT, facility management, logistics, medical devices procurement, and professional services across 60+ countries.",Group CPO / SVP Group Procurement,"Complex multi-division structure (Kabi, Helios) with siloed category management teams creating duplicated effort and inconsistent strategies across business segments.","""Fresenius"" CPO OR ""Head of Procurement"" OR ""Group Procurement"" OR ""VP Procurement"" site:linkedin.com",1,active
7,Knorr-Bremse AG,Industrial manufacturing / Automotive components,"Munich, Germany","~33,000","Indirect spend covering IT, logistics, energy, tooling, MRO, and professional services across rail and commercial vehicle divisions in 30+ countries.",CPO / Head of Group Procurement,"Dual division structure (rail + truck) with distinct supply markets makes unified, fast category strategy development extremely challenging with manual processes.","""Knorr-Bremse"" CPO OR ""Head of Procurement"" OR ""VP Procurement"" site:linkedin.com",1,active
8,Commerzbank AG,Banking / Financial services,"Frankfurt, Germany","~36,000","Large indirect spend on IT services, consulting, facility management, marketing, and professional services with complex regulatory procurement requirements.",CPO / Head of Group Procurement,Ongoing digital transformation and cost-cutting programs in banking demand rapid strategic sourcing decisions across IT and professional services categories in a highly regulated environment.,"""Commerzbank"" CPO OR ""Head of Procurement"" OR ""Head of Purchasing"" site:linkedin.com",1,active
9,Helvetia Group,Insurance / Financial services,"St. Gallen, Switzerland","~13,000","Indirect spend across IT infrastructure, consulting, marketing, facility management, and claims-related services across multiple European markets with strong German operations.",Head of Procurement / Head of Strategic Sourcing,"Multi-country insurance operations with growing IT spend complexity require faster, more market-aware category strategies than traditional manual approaches allow.","""Helvetia"" ""Head of Procurement"" OR ""Head of Purchasing"" OR CPO site:linkedin.com",2,active
10,Erste Group Bank AG,Banking / Financial services,"Vienna, Austria","~46,000","Significant indirect spend on IT, consulting, facility management, marketing, and professional services across Central and Eastern European banking operations.",Head of Group Procurement / CPO,Pan-CEE banking operations with diverse local supply markets and growing IT/digital spend make centralized category strategy extremely time-consuming using manual methods.,"""Erste Group"" CPO OR ""Head of Procurement"" OR ""Head of Purchasing"" site:linkedin.com",2,active
11,Wacker Chemie AG,Specialty chemicals,"Munich, Germany","~16,000","Indirect spend across energy, logistics, IT, maintenance, and technical services supporting silicon and polymer chemical production globally.",Head of Procurement / VP Procurement,"Energy-intensive chemical production with volatile energy and raw material markets requires dynamic category strategies that static, quarterly review cycles cannot deliver.","""Wacker Chemie"" OR ""WACKER"" ""Head of Procurement"" OR CPO OR ""VP Procurement"" site:linkedin.com",1,active
12,MAHLE GmbH,Automotive components,"Stuttgart, Germany","~72,000","Broad indirect spend on logistics, IT, energy, tooling, facility management, and professional services across 30+ countries as the company pivots from ICE to EV components.",CPO / Head of Group Procurement,"Fundamental business model shift from combustion engine to electrification components demands rapid, continuous reassessment of category strategies across completely new supply markets.","""MAHLE"" CPO OR ""Head of Procurement"" OR ""VP Procurement"" OR ""Head of Purchasing"" site:linkedin.com",1,active
13,Verbund AG,Energy / Utilities,"Vienna, Austria","~3,500","Indirect spend across energy trading support services, IT, engineering services, maintenance, and consulting for large-scale hydropower and renewable energy infrastructure.",Head of Procurement / Head of Strategic Sourcing,Rapid energy transition and expansion into renewables creates new spend categories requiring market intelligence that manual strategy processes cannot incorporate fast enough.,"""Verbund"" ""Head of Procurement"" OR ""Head of Purchasing"" OR ""Strategic Sourcing"" site:linkedin.com",3,active
14,EnBW Energie Baden-Württemberg AG,Energy / Utilities,"Karlsruhe, Germany","~27,000","Extensive indirect spend on IT, engineering services, maintenance, consulting, fleet management, and facility services across energy generation, grid, and retail operations.",CPO / Head of Group Procurement,Major strategic pivot from conventional to renewable energy creates entirely new procurement categories where market intelligence is scarce and strategy cycles need to be drastically shortened.,"""EnBW"" CPO OR ""Head of Procurement"" OR ""Head of Purchasing"" OR ""VP Procurement"" site:linkedin.com",1,active
15,Salzgitter AG,Industrial manufacturing / Steel,"Salzgitter, Germany","~25,000","Significant indirect spend on energy, logistics, maintenance, IT, and industrial services supporting integrated steel and technology operations.",Head of Group Procurement / CPO,Green steel transformation and volatile energy/raw material markets require category strategies that can be updated rapidly with real-time market data rather than quarterly PowerPoint reviews.,"""Salzgitter AG"" CPO OR ""Head of Procurement"" OR ""Head of Purchasing"" site:linkedin.com",2,active
16,Bilfinger SE,Industrial services / Engineering,"Mannheim, Germany","~30,000","Complex indirect spend on subcontractor services, IT, fleet, safety equipment, professional services, and facility management across European industrial service operations.",CPO / Head of Procurement,"Project-based industrial services business with thousands of subcontractors across categories makes centralized, up-to-date category strategy extremely difficult with manual processes.","""Bilfinger"" CPO OR ""Head of Procurement"" OR ""VP Procurement"" site:linkedin.com",2,active
17,Grünenthal Group,Pharmaceuticals / Life sciences,"Aachen, Germany","~4,500","Indirect spend across contract research organizations, IT, marketing, logistics, and professional services supporting global pharmaceutical operations.",Head of Procurement / VP Procurement,"Mid-sized pharma with global ambitions faces complex category strategies across CRO, CMO, and IT services where market dynamics shift faster than manual strategy cycles can track.","""Grünenthal"" OR ""Grunenthal"" ""Head of Procurement"" OR CPO OR ""VP Procurement"" site:linkedin.com",2,active
18,Norma Group SE,Industrial manufacturing / Automotive components,"Maintal, Germany","~8,000","Indirect spend across logistics, IT, energy, MRO, and professional services supporting engineered joining technology operations across three global regions.",VP Procurement / Head of Global Procurement,"Mid-cap manufacturer operating across automotive and industrial segments with multi-regional procurement teams that lack standardized, efficient category strategy processes.","""Norma Group"" ""Head of Procurement"" OR ""VP Procurement"" OR CPO site:linkedin.com",2,active
19,Clariant AG,Specialty chemicals,"Muttenz, Switzerland","~11,000","Indirect spend on energy, logistics, IT, contract manufacturing, and professional services across global specialty chemical operations with strong German production presence.",CPO / Head of Global Procurement,Recent strategic portfolio simplification and focus on specialty businesses demand rapid category strategy updates across new focus areas where supply market intelligence is critical.,"""Clariant"" CPO OR ""Head of Procurement"" OR ""Head of Purchasing"" OR ""VP Procurement"" site:linkedin.com",2,active
20,Hella GmbH & Co. KGaA (FORVIA Hella),Automotive components / Lighting & Electronics,"Lippstadt, Germany","~38,000","Indirect spend across IT, logistics, energy, tooling, MRO, and professional services supporting automotive lighting and electronics manufacturing globally.",CPO / Head of Procurement,Integration into FORVIA group while maintaining operational procurement creates dual complexity — harmonizing category strategies across legacy structures while adapting to rapidly evolving automotive electronics supply markets.,"""FORVIA"" OR ""Hella"" CPO OR ""Head of Procurement"" OR ""VP Procurement"" site:linkedin.com",1,active
