company_id,name,vertical,geography,stage,headcount_estimate,recent_growth_signals,hiring_signals,checklist_pass,must_haves_notes,priority,notes
1,Gleef,AI,EU-France,Growth,15-40,Ongoing GTM strategy project (AMSA); B2B SaaS Paris,Possible via relationship,YES,Warm: active project; founders reachable,1,Prioritize founder + commercial lead
2,Nexus,AI,EU-Belgium,Seed,15-35,Seed ~EUR3.7M Apr 2026; YC + General Catalyst,Scale platform + enterprise adoption,YES,Agents for non-technical teams; implementation-led GTM,1,
3,Enginy,AI,EU-Spain,Seed,20-40,EUR5M seed Jan 2026; US UK DE FR IT NL expansion,Hiring; scale internationally,YES,AI outbound/SDR wedge,1,
4,Kestra,AI,EU-France,Series A,80-150,Series A EUR21M Mar 2026; Kestra 2.0 + cloud + GTM NA/EU,Enterprise sales + marketing,YES,Orchestration category; positioning + enterprise use cases,2,Larger team
5,FlexAI,AI,EU-France,Seed,40-80,Large seed EUR28.5M (Sifted Rising 100 2025),Scale AI compute product,YES,Technical buyer education GTM,2,
6,Maisa AI,AI,EU-Spain,Seed,40-100,USD25M seed 2025 (Tech.eu); enterprise automation,Scale team + self-serve,YES,Enterprise workflow automation ICP,2,
7,Paid.ai,AI,EU-UK,Seed,30-70,EUR21M seed 2025; revenue engine for AI agents,Partnerships + category,YES,Usage-based billing narrative for agents,1,
8,Octonomy,AI,EU-Germany,Seed,30-60,~USD20M seed 2025 (major seed lists),Enterprise GTM,YES,Complex automation agents ROI story,2,
9,Cognee,AI,EU-Germany,Seed,25-50,EUR7.5M 2026 (industry press cluster); AI memory,Enterprise adoption,YES,OSS/enterprise bridge GTM,2,
10,Lovable,AI,EU-Sweden,Seed,50-120,EUR14.6M+ seed (Sifted 2025),PLG + community,YES,Monetization + ICP focus,2,
11,Black Forest Labs,AI,EU-Germany,Seed,40-100,EUR28.2M seed (Sifted 2025),API + enterprise,YES,Model distribution and enterprise sales,3,
12,Weaviate,AI,EU-Netherlands,Series C,100+,Vector DB category scale,Enterprise + cloud,YES,Differentiation vs hyperscalers,3,More mature
13,Lakera AI,AI,EU-Switzerland,Series A,40-80,EUR18.2M Series A (Sifted),LLM security GTM,YES,Security buyer + developer paths,2,
14,n8n,AI,EU-Germany,Series B,150+,Workflow automation; AI features,Enterprise + self-serve,YES,OSS to commercial conversion,3,Larger org
15,Adaptive ML,AI,EU-France,Seed,20-45,Seed (Sifted Rising 2025),Applied ML GTM,YES,Vertical application clarity,3,
16,Qdrant,AI,EU-Germany,Series A,60-100,EUR25.7M Series A (Sifted),Vector growth,YES,Community to cloud revenue,3,
17,Appwrite,AI,IL-Israel,Series A,80-120,EUR24.6M Series A (Sifted),Dev platform expansion,YES,Developer marketing + enterprise,3,Non-EU/US core
18,Morpho,AI,EU-France,Growth,30-70,Paris AI research/product (verify latest),Product-led growth,YES,Research productization GTM,4,Verify funding before send
19,Rapidata,AI,EU,Seed,15-35,EUR7.2M cluster; data for AI (press),Enterprise pilots,YES,Data/eval buyer GTM,4,
20,Elyos AI,AI,EU,Seed,20-45,EUR11.1M (press cluster); customer workflows,Scale GTM,YES,Customer-facing automation,4,
21,Clerq,Fintech,US-NYC,Series A,40-90,USD21M Oct 2025; 6x revenue growth cited,Product + vertical expansion,YES,High-ticket vertical landing pages,1,
22,OpenFX,Fintech,US,Series A,50-120,USD94M Series A Mar 2026; volume growth cited,SEA expansion + hiring,YES,Corridor + liquidity narrative,2,Very well-funded
